S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
337.498	1	337.498	2	337.498	4	337.498	-2	337.498	-1	337.498	2	337.498	0	337.498	1	337.498	-2	337.498	0	337.498	0	337.498	-2	337.498	2	337.498	-3	
337.947	-2	337.947	-6	337.947	-3	337.947	-1	337.947	-2	337.947	-4	337.947	-1	337.947	2	337.947	-1	337.947	3	337.947	2	337.947	-3	337.947	-4	337.947	-2	
338.397	2	338.397	-2	338.397	2	338.397	3	338.397	-4	338.397	1	338.397	-1	338.397	1	338.397	-2	338.397	3	338.397	-4	338.397	-2	338.397	-1	338.397	0	
338.846	1	338.846	-1	338.846	-3	338.846	-7	338.846	2	338.846	-1	338.846	-3	338.846	1	338.846	-5	338.846	-2	338.846	-1	338.846	1	338.846	0	338.846	-3	
339.295	-4	339.295	-6	339.295	-5	339.295	-5	339.295	-5	339.295	-6	339.295	-4	339.295	-5	339.295	-5	339.295	-9	339.295	-6	339.295	-7	339.295	-1	339.295	-7	
339.745	1	339.745	-1	339.745	3	339.745	0	339.745	-3	339.745	2	339.745	-1	339.745	-2	339.745	4	339.745	-5	339.745	3	339.745	-2	339.745	-4	339.745	4	
340.194	-2	340.194	0	340.194	3	340.194	0	340.194	-3	340.194	2	340.194	-3	340.194	-2	340.194	2	340.194	0	340.194	-1	340.194	-1	340.194	-4	340.194	1	
340.644	-7	340.644	-5	340.644	-3	340.644	-1	340.644	-1	340.644	-4	340.644	-4	340.644	-7	340.644	-4	340.644	-4	340.644	-9	340.644	-2	340.644	-4	340.644	-8	
341.094	-2	341.094	-5	341.094	-2	341.094	-5	341.094	-2	341.094	-2	341.094	-4	341.094	2	341.094	0	341.094	-3	341.094	-2	341.094	-2	341.094	0	341.094	0	
341.544	-1	341.544	-5	341.544	-1	341.544	1	341.544	-1	341.544	1	341.544	-3	341.544	0	341.544	0	341.544	1	341.544	-3	341.544	-2	341.544	-1	341.544	0	
341.994	-1	341.994	-4	341.994	-1	341.994	-1	341.994	-5	341.994	-1	341.994	-3	341.994	-3	341.994	-5	341.994	-2	341.994	-3	341.994	-2	341.994	-8	341.994	-1	
342.444	3	342.444	1	342.444	4	342.444	0	342.444	0	342.444	2	342.444	-1	342.444	2	342.444	1	342.444	0	342.444	-1	342.444	2	342.444	1	342.444	-1	
342.894	1	342.894	-2	342.894	0	342.894	-1	342.894	2	342.894	4	342.894	-4	342.894	1	342.894	-2	342.894	1	342.894	-1	342.894	0	342.894	0	342.894	1	
343.344	7	343.344	-4	343.344	4	343.344	1	343.344	3	343.344	-1	343.344	0	343.344	1	343.344	-1	343.344	-1	343.344	0	343.344	3	343.344	2	343.344	-7	
343.794	-5	343.794	-5	343.794	-5	343.794	-3	343.794	-5	343.794	-5	343.794	-6	343.794	-6	343.794	-5	343.794	-1	343.794	-8	343.794	-4	343.794	-4	343.794	-7	
344.244	6	344.244	3	344.244	5	344.244	-3	344.244	1	344.244	6	344.244	-2	344.244	-3	344.244	0	344.244	3	344.244	0	344.244	-2	344.244	-1	344.244	-1	
344.695	1	344.695	-2	344.695	-5	344.695	-9	344.695	1	344.695	-3	344.695	2	344.695	-5	344.695	-2	344.695	-4	344.695	-4	344.695	-4	344.695	1	344.695	-5	
345.145	-7	345.145	-8	345.145	-4	345.145	-4	345.145	-7	345.145	-1	345.145	-5	345.145	-6	345.145	-7	345.145	-3	345.145	-8	345.145	-7	345.145	-8	345.145	-5	
345.596	2	345.596	-2	345.596	-2	345.596	2	345.596	-5	345.596	-1	345.596	-5	345.596	-1	345.596	-3	345.596	-3	345.596	0	345.596	-2	345.596	-4	345.596	-1	
346.046	1	346.046	3	346.046	4	346.046	1	346.046	1	346.046	1	346.046	0	346.046	1	346.046	0	346.046	1	346.046	0	346.046	-1	346.046	0	346.046	3	
346.497	-1	346.497	-4	346.497	-2	346.497	-2	346.497	1	346.497	0	346.497	0	346.497	3	346.497	-3	346.497	2	346.497	-2	346.497	0	346.497	2	346.497	1	
346.948	3	346.948	-5	346.948	1	346.948	2	346.948	0	346.948	2	346.948	0	346.948	-4	346.948	-1	346.948	1	346.948	3	346.948	2	346.948	1	346.948	2	
347.399	-1	347.399	-5	347.399	-3	347.399	3	347.399	-1	347.399	2	347.399	-2	347.399	4	347.399	0	347.399	0	347.399	3	347.399	-2	347.399	0	347.399	2	
347.85	0	347.85	3	347.85	1	347.85	0	347.85	2	347.85	1	347.85	0	347.85	1	347.85	0	347.85	-3	347.85	-1	347.85	-3	347.85	0	347.85	-1	
348.301	0	348.301	-3	348.301	0	348.301	-4	348.301	1	348.301	1	348.301	2	348.301	1	348.301	1	348.301	-1	348.301	-1	348.301	-2	348.301	-3	348.301	-3	
348.752	5	348.752	0	348.752	0	348.752	0	348.752	3	348.752	5	348.752	1	348.752	-1	348.752	0	348.752	-1	348.752	2	348.752	1	348.752	0	348.752	2	
349.203	-1	349.203	-4	349.203	1	349.203	4	349.203	0	349.203	-2	349.203	0	349.203	-3	349.203	1	349.203	0	349.203	-1	349.203	-1	349.203	-2	349.203	-1	
349.654	1	349.654	-1	349.654	0	349.654	0	349.654	1	349.654	-1	349.654	-4	349.654	1	349.654	-2	349.654	-1	349.654	2	349.654	-4	349.654	-2	349.654	2	
350.106	-3	350.106	-1	350.106	-3	350.106	-2	350.106	-2	350.106	-3	350.106	-3	350.106	-1	350.106	-1	350.106	0	350.106	-1	350.106	-2	350.106	0	350.106	-1	
